depart_airport_time,sv3_time,sv6_time,arrive_airport_time
,"4:30","4:35","5:00"
"5:00","5:30","5:35","6:00"
"6:00","6:30","6:35","7:00"
"7:00","7:30","7:35","8:00"
"7:30","8:00","8:05","8:30"
"8:00","8:30","8:35","9:00"
"8:30","9:00","9:05","9:30"
"9:00","9:30","9:35","10:00"
"9:30","10:00","10:05","10:30"
"10:00","10:30","10:35","11:00"
"10:30","11:00","11:05","11:30"
"11:00","11:30","11:35","12:00"
"11:30","12:00","12:05","12:30"
"12:00","12:30","12:35","13:00"
"12:30","13:00","13:05","13:30"
"13:00","13:30","13:35","14:00"
"13:30","14:00","14:05","14:30"
"14:00","14:30","14:35","15:00"
"14:30","15:00","15:05","15:30"
"15:00","15:30","15:35","16:00"
"15:30","16:00","16:05","16:30"
"16:00","16:30","16:35","17:00"
"16:30","17:00","17:05","17:30"
"17:00","17:30","17:35","18:00"
"17:30","18:00","18:05","18:30"
"18:00","18:30","18:35","19:00"
"18:30","19:00","19:05","19:30"
"19:00","19:30","19:35","20:00"
"19:30","20:00","20:05","20:30"
"20:00","20:30","20:35","21:00" 
"20:30","21:00","21:05","21:30"
"21:00","21:30","21:35","22:00"
"21:30","22:00","22:05","22:30"
"22:00","22:30","22:35","23:00"
"23:00","23:30","23:35","00:00"
"00:00","00:30","00:35","01:00"
