depart_airport_time,sv3_time,sv6_time,arrive_airport_time
"07:15","07:30","07:35","07:50"
"07:55","08:10","08:15","08:30"
"08:35","08:50","08:55","09:10"
"09:15","09:30","09:35","09:50"
"09:55","10:10","10:15","10:30"
"10:35","10:50","10:55","11:10"
"11:15","11:30","11:35","11:50"
"11:55","12:10","12:15","12:30"
"12:35","12:50","12:55","13:10"
"13:15","13:30","13:35","13:50"
"13:55","14:10","14:15","14:30"
"14:35","14:50","14:55","15:10"
"15:15","15:30","15:35","15:50"
"15:55","16:10","16:15","16:30"
"16:35","16:50","16:55","17:10"
"17:15","17:30","17:35","17:50"
"17:55","18:10","18:15","18:30"
"18:35","18:50","18:55","19:10"
"19:15","19:30","19:35","19:50"
"19:55","20:10","20:15","20:30"
"20:35","20:50","20:55","21:10"
"21:15","21:30","21:35","21:50"
"21:55","22:10","22:15","22:30"
"22:35","22:50","22:55","23:10"
"23:15","23:30","23:35","23:50"
